Layer_size,score
32,1.0007284818839641
16,0.9836493705115207
15,0.9842798737928555
14,0.9834738241318973
13,0.9828973741561002
12,0.9827616982973705
11,0.9832467163626949
10,0.9831029420992564
9,0.9841790052967948
8,0.9841774236857532
7,0.984572855404125
6,0.9858199682112386
5,0.9860847070980938
4,0.9927852252978103
3,0.991398672237284
2,0.994659151743968
